Time (seconds),x0,x1,x2,x3,x4,x5
4.855,1191,1186,0,1201,1202,0
4.864,1187,1186,0,1210,1202,0
4.873,1189,1187,0,1201,1202,0
4.882,1192,1187,0,1205,1202,0
4.889,1190,1187,0,1202,1202,0
4.898,1192,1187,0,1204,1202,0
4.905,1190,1187,0,1206,1202,0
4.913,1196,1187,0,1209,1202,0
4.92,1188,1187,0,1205,1202,0
4.927,1190,1187,0,1203,1202,0
4.934,1196,1187,0,1198,1202,0
4.943,1196,1187,0,1209,1202,0
4.95,1190,1187,0,1204,1202,0
4.961,1194,1187,0,1203,1202,0
4.972,1195,1187,0,1205,1202,0
4.982,1191,1187,0,1204,1202,0
4.992,1199,1187,0,1205,1202,0
5.002,1197,1187,0,1205,1202,0
5.011,1197,1187,0,1204,1202,0
5.022,1201,1187,0,1202,1202,0
5.033,1204,1187,0,1206,1202,0
5.046,1206,1187,0,1202,1202,0
5.059,1217,1187,0,1202,1202,0
5.072,1213,1187,0,1206,1202,0
5.084,1224,1187,0,1202,1202,0
5.099,1229,1187,42,1204,1202,0
5.111,1274,1187,87,1202,1202,0
5.124,1391,1187,204,1208,1202,0
5.138,1425,1187,238,1201,1202,0
5.151,1440,1187,253,1204,1202,0
5.163,1451,1187,264,1201,1202,0
5.175,1458,1187,271,1206,1202,0
5.186,1468,1187,281,1204,1202,0
5.199,1460,1187,273,1199,1202,0
5.212,1464,1187,277,1204,1202,0
5.225,1461,1187,274,1203,1202,0
5.237,1468,1187,281,1202,1202,0
5.252,1463,1187,276,1208,1202,0
5.264,1456,1187,269,1206,1202,0
5.277,1452,1187,265,1207,1202,0
5.288,1429,1187,242,1201,1202,0
5.298,1373,1187,186,1200,1202,0
5.307,1299,1187,112,1207,1202,0
5.318,1247,1187,60,1201,1202,0
5.327,1222,1188,0,1202,1202,0
5.337,1200,1188,0,1203,1202,0
5.346,1198,1188,0,1202,1202,0
5.358,1195,1188,0,1211,1202,0
5.368,1194,1188,0,1205,1202,0
5.378,1192,1188,0,1210,1202,0
5.389,1198,1188,0,1205,1202,0
5.4,1184,1188,0,1202,1202,0
5.411,1188,1188,0,1205,1202,0
5.422,1186,1188,0,1209,1202,0
5.435,1187,1188,0,1205,1202,0
5.447,1185,1188,0,1200,1202,0
5.459,1191,1188,0,1201,1202,0
5.472,1184,1188,0,1203,1202,0
5.485,1186,1188,0,1204,1202,0
5.499,1197,1188,0,1202,1202,0
5.512,1188,1188,0,1205,1202,0
5.524,1186,1188,0,1199,1202,0
5.536,1187,1188,0,1199,1202,0
5.548,1191,1188,0,1206,1202,0
5.561,1183,1188,0,1209,1202,0
5.572,1184,1188,0,1209,1202,0
5.585,1188,1188,0,1204,1202,0
5.598,1185,1188,0,1200,1202,0
5.611,1188,1188,0,1205,1202,0
5.621,1197,1188,0,1205,1202,0
5.633,1184,1188,0,1200,1202,0
5.646,1192,1188,0,1204,1202,0
5.656,1185,1188,0,1207,1202,0
5.668,1186,1188,0,1198,1202,0
5.677,1187,1188,0,1203,1202,0
5.689,1185,1188,0,1205,1202,0
5.702,1189,1188,0,1203,1202,0
5.715,1187,1188,0,1204,1202,0
5.73,1186,1187,0,1202,1202,0
5.744,1184,1187,0,1201,1202,0
5.759,1185,1187,0,1204,1202,0
5.772,1195,1187,0,1203,1202,0
5.781,1191,1188,0,1203,1202,0
5.791,1183,1187,0,1203,1202,0
5.802,1188,1187,0,1202,1202,0
5.812,1189,1187,0,1207,1202,0
5.823,1186,1187,0,1201,1202,0
5.833,1189,1187,0,1208,1202,0
5.843,1186,1187,0,1211,1202,0
5.854,1186,1187,0,1209,1203,0
5.867,1192,1187,0,1206,1203,0
5.876,1188,1187,0,1204,1203,0
5.885,1187,1187,0,1208,1203,0
5.896,1182,1187,0,1202,1203,0
5.907,1186,1187,0,1201,1203,0
5.918,1186,1187,0,1201,1203,0
5.927,1187,1187,0,1204,1203,0
5.938,1187,1187,0,1211,1203,0
5.949,1196,1187,0,1203,1203,0
5.958,1185,1187,0,1208,1203,0
5.968,1184,1187,0,1202,1203,0
5.977,1189,1187,0,1210,1203,0
5.992,1183,1187,0,1209,1203,0
6.01,1189,1187,0,1204,1203,0
6.022,1191,1187,0,1204,1203,0
6.035,1188,1187,0,1204,1203,0
6.046,1184,1187,0,1204,1203,0
6.058,1185,1187,0,1200,1203,0
6.071,1187,1187,0,1203,1203,0
6.084,1184,1187,0,1202,1203,0
6.097,1187,1187,0,1204,1203,0
6.108,1195,1187,0,1206,1203,0
6.116,1190,1187,0,1208,1203,0
6.125,1188,1187,0,1201,1203,0
6.135,1188,1187,0,1205,1203,0
6.146,1185,1187,0,1205,1203,0
6.158,1187,1187,0,1202,1203,0
6.172,1187,1187,0,1207,1203,0
6.186,1182,1187,0,1205,1203,0
6.197,1190,1187,0,1204,1203,0
6.209,1190,1187,0,1202,1203,0
6.222,1187,1187,0,1202,1203,0
6.235,1198,1187,0,1203,1203,0
6.248,1186,1187,0,1208,1203,0
6.262,1193,1187,0,1206,1203,0
6.274,1189,1187,0,1208,1203,0
6.286,1187,1187,0,1205,1203,0
6.297,1192,1187,0,1207,1203,0
6.307,1187,1187,0,1206,1203,0
6.316,1189,1187,0,1204,1203,0
6.329,1188,1187,0,1208,1203,0
6.341,1190,1187,0,1211,1203,0
6.351,1188,1187,0,1204,1203,0
6.361,1191,1187,0,1203,1203,0
6.372,1191,1187,0,1203,1203,0
6.383,1190,1187,0,1201,1203,0
6.391,1184,1187,0,1201,1203,0
6.404,1193,1187,0,1203,1203,0
6.416,1187,1187,0,1201,1203,0
6.427,1190,1188,0,1210,1203,0
6.439,1189,1188,0,1198,1203,0
6.452,1189,1188,0,1207,1203,0
6.465,1203,1188,0,1207,1203,0
6.477,1190,1188,0,1210,1203,0
6.489,1200,1188,0,1207,1203,0
6.501,1191,1188,0,1205,1203,0
6.513,1199,1188,0,1203,1203,0
6.53,1194,1188,0,1204,1203,0
6.541,1196,1188,0,1205,1203,0
6.554,1203,1188,0,1208,1203,0
6.567,1194,1188,0,1206,1203,0
6.581,1194,1188,0,1204,1203,0
6.593,1199,1188,0,1209,1203,0
6.606,1202,1188,0,1203,1203,0
6.621,1206,1188,0,1207,1203,0
6.633,1214,1188,0,1209,1203,0
6.645,1211,1188,0,1210,1203,0
6.657,1232,1188,44,1206,1203,0
6.668,1244,1188,56,1207,1203,0
6.68,1286,1188,98,1201,1203,0
6.692,1420,1188,232,1206,1203,0
6.705,1442,1188,254,1208,1203,0
6.718,1449,1188,261,1205,1203,0
6.731,1457,1188,269,1203,1203,0
6.743,1464,1188,276,1201,1203,0
6.754,1466,1188,278,1204,1203,0
6.765,1463,1188,275,1202,1203,0
6.776,1463,1188,275,1210,1203,0
6.786,1465,1188,277,1200,1203,0
6.797,1471,1188,283,1200,1203,0
6.807,1469,1188,281,1201,1203,0
6.819,1466,1188,278,1208,1203,0
6.829,1470,1188,282,1202,1203,0
6.84,1468,1188,280,1213,1203,0
6.849,1464,1188,276,1204,1203,0
6.862,1460,1188,272,1206,1203,0
6.875,1442,1188,254,1200,1203,0
6.887,1350,1188,162,1207,1203,0
6.899,1259,1188,71,1203,1203,0
6.913,1221,1188,0,1204,1203,0
6.924,1201,1188,0,1206,1203,0
6.933,1195,1188,0,1202,1203,0
6.941,1192,1188,0,1205,1203,0
6.95,1191,1188,0,1205,1203,0
6.958,1185,1188,0,1202,1203,0
6.968,1188,1188,0,1214,1203,0
6.976,1189,1188,0,1203,1203,0
6.987,1194,1188,0,1208,1203,0
6.995,1184,1188,0,1203,1203,0
7.004,1188,1188,0,1200,1203,0
7.012,1190,1188,0,1202,1203,0
7.02,1186,1188,0,1200,1203,0
7.028,1185,1188,0,1201,1203,0
7.036,1194,1188,0,1205,1203,0
7.044,1185,1188,0,1204,1203,0
7.052,1187,1188,0,1204,1203,0
7.06,1185,1188,0,1204,1203,0
